,lis_id,cspan_id,state,first_name,last_name,missed_votes,missed_votes_pct,next_election,party,senate_class,seniority,total_votes,votes_with_party_pct
0,S289,5,TN,Lamar,Alexander,14,2.79,2020,R,2,13,502,85.45
1,S340,95241,NH,Kelly,Ayotte,7,1.39,2016,R,3,5,502,79.39
2,S342,45465,MO,Roy,Blunt,22,4.38,2016,R,3,5,502,90.83
3,S223,2470,CA,Barbara,Boxer,67,13.35,2016,D,3,23,502,93.56
4,S307,5051,OH,Sherrod,Brown,11,2.19,2018,D,1,3,502,93.48
5,S300,31054,NC,Richard,Burr,3,0.60,2016,R,3,11,502,91.78
6,S354,57884,WI,Tammy,Baldwin,0,0.00,2018,D,1,3,502,94.42
7,S343,92069,AR,John,Boozman,4,0.80,2016,R,3,5,502,93.57
8,S317,1024777,WY,John,Barrasso,1,0.20,2018,R,1,9,502,93.21
9,S330,1031622,CO,Michael,Bennet,0,0.00,2016,D,3,7,502,90.44
10,S341,21799,CT,Richard,Blumenthal,2,0.40,2016,D,3,5,502,96.20
11,S370,84679,NJ,Cory,Booker,8,1.59,2020,D,2,3,502,94.74
12,S275,26137,WA,Maria,Cantwell,0,0.00,2018,D,1,15,502,93.63
13,S308,4004,MD,Benjamin,Cardin,0,0.00,2018,D,1,9,502,95.82
14,S277,663,DE,Thomas,Carper,13,2.59,2018,D,1,15,502,89.57
15,S212,6080,IN,Daniel,Coats,15,2.99,2016,R,3,5,502,90.76
16,S136,1200,MS,Thad,Cochran,8,1.59,2020,R,2,37,502,89.88
17,S266,26440,ID,Michael,Crapo,11,2.19,2016,R,3,17,502,89.21
18,S252,45738,ME,Susan,Collins,0,0.00,2020,R,2,19,502,73.90
19,S372,83737,WV,Shelley,Capito,4,0.80,2020,R,2,1,502,88.55
20,S287,93131,TX,John,Cornyn,9,1.79,2020,R,2,13,502,92.49
21,S309,47036,PA,Bob,Casey,5,1.00,2018,D,1,9,502,91.75
22,S310,1021114,TN,Bob,Corker,14,2.79,2018,R,1,9,502,88.11
23,S373,1030546,LA,Bill,Cassidy,6,1.20,2020,R,2,1,502,92.94
24,S337,9269028,DE,Christopher,Coons,18,3.59,2020,D,2,7,502,95.45
25,S374,63928,AR,Tom,Cotton,14,2.79,2020,R,2,1,502,90.98
26,S355,1019953,TX,Ted,Cruz,162,32.27,2018,R,1,3,502,79.71
27,S253,6741,IL,Richard,Durbin,11,2.19,2020,D,2,19,502,95.93
28,S356,1012000,IN,Joe,Donnelly,4,0.80,2018,D,1,3,502,78.71
29,S375,1034037,MT,Steve,Daines,0,0.00,2020,R,2,1,502,89.24
30,S254,45824,WY,Michael,Enzi,17,3.39,2020,R,2,19,502,91.96
31,S376,75342,IA,Joni,Ernst,0,0.00,2020,R,2,1,502,93.43
32,S221,13061,CA,Dianne,Feinstein,13,2.59,2018,D,1,23,502,92.43
33,S358,87582,AZ,Jeff,Flake,21,4.18,2018,R,1,3,502,85.45
34,S332,23334,MN,Al,Franken,14,2.79,2020,D,2,7,502,94.88
35,S357,1034067,NE,Deb,Fischer,0,0.00,2018,R,1,3,502,94.42
36,S293,36782,SC,Lindsey,Graham,123,24.50,2020,R,2,13,502,83.64
37,S153,1167,IA,Charles,Grassley,0,0.00,2016,R,3,35,502,92.43
38,S331,1022862,NY,Kirsten,Gillibrand,2,0.40,2018,D,1,7,502,94.00
39,S377,623308,CO,Cory,Gardner,11,2.19,2020,R,2,1,502,89.61
40,S118,189,UT,Orrin,Hatch,3,0.60,2018,R,1,39,502,90.78
41,S352,1012368,NV,Dean,Heller,15,2.99,2018,R,1,5,502,80.49
42,S361,91216,HI,Mazie,Hirono,1,0.20,2018,D,1,3,502,96.41
43,S359,1030686,NM,Martin,Heinrich,3,0.60,2018,D,1,3,502,94.59
44,S344,85233,ND,John,Hoeven,6,1.20,2016,R,3,5,502,92.34
45,S360,95414,ND,Heidi,Heitkamp,2,0.40,2018,D,1,3,502,78.60
46,S236,5619,OK,James,Inhofe,13,2.59,2020,R,2,23,502,93.25
47,S305,59135,GA,Johnny,Isakson,6,1.20,2016,R,3,11,502,92.74
48,S345,62835,WI,Ron,Johnson,16,3.19,2016,R,3,5,502,92.59
49,S339,85221,IL,Mark,Kirk,31,6.18,2016,R,3,7,502,77.07
50,S311,83701,MN,Amy,Klobuchar,8,1.59,2018,D,1,9,502,94.13
51,S363,37413,ME,Angus,King,11,2.19,2018,I,1,3,502,88.39
52,S362,49219,VA,Tim,Kaine,16,3.19,2018,D,1,3,502,91.56
53,S057,1552,VT,Patrick,Leahy,8,1.59,2016,D,3,41,502,95.34
54,S378,1033847,OK,James,Lankford,1,0.20,2020,R,3,1,502,87.82
55,S346,9267977,UT,Mike,Lee,36,7.17,2016,R,3,5,502,73.61
56,S369,260,MA,Edward,Markey,8,1.59,2020,D,2,3,502,92.71
57,S197,7476,AZ,John,McCain,14,2.79,2016,R,3,29,502,89.75
58,S174,2351,KY,Mitch,McConnell,0,0.00,2020,R,2,31,502,87.05
59,S306,29608,NJ,Robert,Menendez,9,1.79,2018,D,1,10,502,92.49
60,S182,1396,MD,Barbara,Mikulski,27,5.38,2016,D,3,29,502,95.79
61,S347,45469,KS,Jerry,Moran,19,3.78,2016,R,3,5,502,88.41
62,S229,25277,WA,Patty,Murray,6,1.20,2016,D,3,23,502,93.75
63,S288,1004138,AK,Lisa,Murkowski,21,4.18,2016,R,3,15,502,81.70
64,S364,1021270,CT,Christopher,Murphy,3,0.60,2018,D,1,3,502,94.99
65,S312,1012014,MO,Claire,McCaskill,22,4.38,2018,D,1,9,502,85.42
66,S322,1029842,OR,Jeff,Merkley,5,1.00,2020,D,2,7,502,92.15
67,S338,62864,WV,Joe,Manchin III,9,1.79,2018,D,1,7,502,70.99
68,S282,1931,FL,Bill,Nelson,32,6.37,2018,D,1,15,502,92.34
69,S349,31819,OH,Rob,Portman,7,1.39,2016,R,3,5,502,84.65
70,S380,50199,MI,Gary,Peters,7,1.39,2020,D,2,1,502,95.35
71,S348,9265241,KY,Rand,Paul,24,4.78,2016,R,3,5,502,74.90
72,S379,75920,GA,David,Perdue,8,1.59,2020,R,2,1,502,88.87
73,S259,24239,RI,Jack,Reed,0,0.00,2020,D,2,19,502,95.82
74,S198,1683,NV,Harry,Reid,61,12.15,2016,D,3,29,502,94.10
75,S260,16354,KS,Pat,Roberts,11,2.19,2020,R,2,19,502,94.09
76,S323,1020034,ID,Jim,Risch,4,0.80,2020,R,2,7,502,88.96
77,S350,87599,FL,Marco,Rubio,157,31.27,2016,R,3,5,502,89.28
78,S381,78317,SD,Mike,Rounds,7,1.39,2020,R,2,1,502,91.72
79,S313,994,VT,Bernard,Sanders,143,28.49,2018,I,1,9,502,89.14
80,S270,5929,NY,Charles,Schumer,2,0.40,2016,D,3,17,502,95.40
81,S184,1859,AL,Richard,Shelby,20,3.98,2016,R,3,29,502,87.76
82,S284,45451,MI,Debbie,Stabenow,8,1.59,2018,D,1,15,502,94.33
83,S261,44441,AL,Jeff,Sessions,14,2.79,2020,R,2,19,502,88.32
84,S324,22850,NH,Jeanne,Shaheen,4,0.80,2020,D,2,7,502,93.78
85,S365,623506,SC,Tim,Scott,11,2.19,2016,R,3,3,502,89.41
86,S353,87784,HI,Brian,Schatz,3,0.60,2016,D,3,3,502,95.59
87,S382,77429,NE,Ben,Sasse,5,1.00,2020,R,2,1,502,83.70
88,S383,1023262,AK,Dan,Sullivan,16,3.19,2020,R,2,1,502,91.15
89,S303,45552,SD,John,Thune,4,0.80,2016,R,3,11,502,92.97
90,S351,7958,PA,Patrick,Toomey,40,7.97,2016,R,3,5,502,90.26
91,S314,1020176,MT,Jon,Tester,1,0.20,2018,D,1,9,502,89.22
92,S384,77055,NC,Thom,Tillis,3,0.60,2020,R,2,1,502,91.98
93,S326,10075,NM,Tom,Udall,4,0.80,2020,D,2,8,502,94.58
94,S299,60672,LA,David,Vitter,76,15.14,2016,R,3,11,502,90.61
95,S318,18203,MS,Roger,Wicker,11,2.19,2018,R,1,9,502,93.48
96,S247,1962,OR,Ron,Wyden,6,1.20,2016,D,3,20,502,91.73
97,S316,92235,RI,Sheldon,Whitehouse,1,0.20,2016,D,3,9,502,94.81
98,S327,7630,VA,Mark,Warner,36,7.17,2020,D,2,7,502,88.63
99,S366,1023023,MA,Elizabeth,Warren,0,0.00,2018,D,1,3,502,91.83
