Akaka (D-HI)	0.0003	0.9901	0.0028	0.0065	0.0004
Alexander (R-TN)	0.0000	0.0019	0.0023	0.0061	0.9896
Allard (R-CO)	0.0113	0.0003	0.0005	0.9879	0.0000
Allen (R-VA)	0.0078	0.0010	0.0061	0.3234	0.6617
Baucus (D-MT)	0.0159	0.2502	0.7314	0.0001	0.0024
Bayh (D-IN)	0.0033	0.6875	0.2954	0.0090	0.0048
Bennett (R-UT)	0.0018	0.0000	0.0094	0.1115	0.8773
Biden (D-DE)	0.0011	0.9856	0.0003	0.0010	0.0119
Bingaman (D-NM)	0.0093	0.9571	0.0261	0.0001	0.0073
Bond (R-MO)	0.0092	0.0053	0.0115	0.1398	0.8341
Boxer (D-CA)	0.0009	0.9874	0.0009	0.0102	0.0006
Breaux (D-LA)	0.0022	0.0002	0.9637	0.0018	0.0321
Brownback (R-KS)	0.0209	0.0064	0.0008	0.0330	0.9389
Bunning (R-KY)	0.0008	0.0002	0.0020	0.2408	0.7562
Burns (R-MT)	0.0183	0.0000	0.0009	0.0418	0.9389
Byrd (D-WV)	0.0005	0.9560	0.0282	0.0003	0.0151
Campbell (R-CO)	0.0175	0.0166	0.0786	0.0316	0.8557
Cantwell (D-WA)	0.0099	0.9875	0.0019	0.0007	0.0001
Carper (D-DE)	0.0084	0.7102	0.2741	0.0069	0.0004
Chafee (R-RI)	0.6520	0.0391	0.0014	0.0021	0.3054
Chambliss (R-GA)	0.0039	0.0002	0.0224	0.0110	0.9625
Clinton (D-NY)	0.0153	0.9767	0.0000	0.0003	0.0077
Cochran (R-MS)	0.0058	0.0004	0.0049	0.0000	0.9889
Coleman (R-MN)	0.0135	0.0014	0.0080	0.0012	0.9760
Collins (R-ME)	0.4960	0.0029	0.0006	0.0501	0.4505
Conrad (D-ND)	0.0259	0.8130	0.0971	0.0489	0.0151
Cornyn (R-TX)	0.0029	0.0001	0.0002	0.4531	0.5437
Corzine (D-NJ)	0.0000	0.9899	0.0000	0.0000	0.0100
Craig (R-ID)	0.0001	0.0009	0.0050	0.4588	0.5352
Crapo (R-ID)	0.0002	0.0005	0.0003	0.1677	0.8314
Daschle (D-SD)	0.0032	0.9683	0.0229	0.0057	0.0000
Dayton (D-MN)	0.0024	0.9326	0.0568	0.0003	0.0078
DeWine (R-OH)	0.0003	0.0134	0.0024	0.0000	0.9840
Dodd (D-CT)	0.0009	0.9953	0.0000	0.0005	0.0033
Dole (R-NC)	0.0001	0.0000	0.0006	0.0016	0.9976
Domenici (R-NM)	0.0085	0.0015	0.0142	0.0009	0.9749
Dorgan (D-ND)	0.0013	0.8878	0.1059	0.0018	0.0032
Durbin (D-IL)	0.0004	0.9932	0.0038	0.0001	0.0025
Edwards (D-NC)	0.0003	0.9995	0.0000	0.0002	0.0000
Ensign (R-NV)	0.0014	0.0128	0.0001	0.9708	0.0150
Enzi (R-WY)	0.0000	0.0021	0.0063	0.6815	0.3101
Feingold (D-WI)	0.0406	0.9480	0.0005	0.0065	0.0044
Feinstein (D-CA)	0.0127	0.9770	0.0000	0.0029	0.0074
Fitzgerald (R-IL)	0.0334	0.0020	0.0074	0.1097	0.8477
Frist (R-TN)	0.0016	0.0130	0.0095	0.0000	0.9760
Graham (D-FL)	0.0000	0.9760	0.0017	0.0005	0.0218
Graham (R-SC)	0.0085	0.0013	0.0146	0.4853	0.4903
Grassley (R-IA)	0.0001	0.0100	0.0000	0.0821	0.9079
Gregg (R-NH)	0.0952	0.0010	0.0000	0.7487	0.1551
Hagel (R-NE)	0.0243	0.0122	0.0022	0.0104	0.9508
Harkin (D-IA)	0.0012	0.9907	0.0049	0.0000	0.0032
Hatch (R-UT)	0.0081	0.0001	0.0008	0.0022	0.9889
Hollings (D-SC)	0.0373	0.8666	0.0961	0.0001	0.0000
Hutchison (R-TX)	0.0016	0.0009	0.0032	0.2661	0.7282
Inhofe (R-OK)	0.0106	0.0000	0.0000	0.3360	0.6533
Inouye (D-HI)	0.0182	0.9545	0.0151	0.0101	0.0020
Jeffords (I-VT)	0.0068	0.7666	0.2260	0.0000	0.0005
Johnson (D-SD)	0.0090	0.9342	0.0537	0.0004	0.0028
Kennedy (D-MA)	0.0118	0.9837	0.0001	0.0021	0.0024
Kerry (D-MA)	0.0019	0.9851	0.0100	0.0014	0.0015
Kohl (D-WI)	0.0007	0.9971	0.0018	0.0001	0.0003
Kyl (R-AZ)	0.0122	0.0007	0.0030	0.7136	0.2705
Landrieu (D-LA)	0.0005	0.4977	0.5002	0.0000	0.0016
Lautenberg (D-NJ)	0.0023	0.9966	0.0007	0.0003	0.0000
Leahy (D-VT)	0.0051	0.9889	0.0040	0.0019	0.0000
Levin (D-MI)	0.0000	0.9978	0.0017	0.0004	0.0001
Lieberman (D-CT)	0.0000	0.9740	0.0158	0.0040	0.0062
Lincoln (D-AR)	0.0015	0.6263	0.3697	0.0000	0.0025
Lott (R-MS)	0.0018	0.0000	0.0001	0.2999	0.6982
Lugar (R-IN)	0.0077	0.0000	0.0002	0.0418	0.9502
McCain (R-AZ)	0.3167	0.0003	0.0007	0.6769	0.0054
McConnell (R-KY)	0.0108	0.0000	0.0051	0.1407	0.8433
Mikulski (D-MD)	0.0000	0.9896	0.0049	0.0000	0.0056
Miller (D-GA)	0.0005	0.0327	0.0068	0.0017	0.9583
Murkowski (R-AK)	0.0101	0.0120	0.0172	0.2131	0.7476
Murray (D-WA)	0.0000	0.9980	0.0000	0.0008	0.0011
Nelson (D-FL)	0.0692	0.9059	0.0202	0.0000	0.0048
Nelson (D-NE)	0.0191	0.1055	0.7702	0.0000	0.1052
Nickles (R-OK)	0.0101	0.0019	0.0000	0.8799	0.1081
Pryor (D-AR)	0.0001	0.7518	0.2437	0.0001	0.0043
Reed (D-RI)	0.0006	0.9889	0.0064	0.0015	0.0027
Reid (D-NV)	0.0026	0.9830	0.0132	0.0012	0.0000
Roberts (R-KS)	0.0014	0.0048	0.0032	0.0035	0.9870
Rockefeller (D-WV)	0.0007	0.9898	0.0042	0.0054	0.0000
Santorum (R-PA)	0.0001	0.0014	0.0041	0.7384	0.2560
Sarbanes (D-MD)	0.0049	0.9937	0.0011	0.0001	0.0002
Schumer (D-NY)	0.0010	0.9982	0.0007	0.0000	0.0000
Sessions (R-AL)	0.0027	0.0012	0.0002	0.7831	0.2128
Shelby (R-AL)	0.0029	0.0000	0.0013	0.0820	0.9138
Smith (R-OR)	0.1021	0.0005	0.0068	0.0003	0.8903
