Akaka (D-HI)	Alexander (R-TN)	Allard (R-CO)	Allen (R-VA)	Baucus (D-MT)	Bayh (D-IN)	Bennett (R-UT)	Biden (D-DE)	Bingaman (D-NM)	Bond (R-MO)	Boxer (D-CA)	Breaux (D-LA)	Brownback (R-KS)	Bunning (R-KY)	Burns (R-MT)	Byrd (D-WV)	Campbell (R-CO)	Cantwell (D-WA)	Carper (D-DE)	Chafee (R-RI)	Chambliss (R-GA)	Clinton (D-NY)	Cochran (R-MS)	Coleman (R-MN)	Collins (R-ME)	Conrad (D-ND)	Cornyn (R-TX)	Corzine (D-NJ)	Craig (R-ID)	Crapo (R-ID)	Daschle (D-SD)	Dayton (D-MN)	DeWine (R-OH)	Dodd (D-CT)	Dole (R-NC)	Domenici (R-NM)	Dorgan (D-ND)	Durbin (D-IL)	Edwards (D-NC)	Ensign (R-NV)	Enzi (R-WY)	Feingold (D-WI)	Feinstein (D-CA)	Fitzgerald (R-IL)	Frist (R-TN)	Graham (D-FL)	Graham (R-SC)	Grassley (R-IA)	Gregg (R-NH)	Hagel (R-NE)	Harkin (D-IA)	Hatch (R-UT)	Hollings (D-SC)	Hutchison (R-TX)	Inhofe (R-OK)	Inouye (D-HI)	Jeffords (I-VT)	Johnson (D-SD)	Kennedy (D-MA)	Kerry (D-MA)	Kohl (D-WI)	Kyl (R-AZ)	Landrieu (D-LA)	Lautenberg (D-NJ)	Leahy (D-VT)	Levin (D-MI)	Lieberman (D-CT)	Lincoln (D-AR)	Lott (R-MS)	Lugar (R-IN)	McCain (R-AZ)	McConnell (R-KY)	Mikulski (D-MD)	Miller (D-GA)	Murkowski (R-AK)	Murray (D-WA)	Nelson (D-FL)	Nelson (D-NE)	Nickles (R-OK)	Pryor (D-AR)	Reed (D-RI)	Reid (D-NV)	Roberts (R-KS)	Rockefeller (D-WV)	Santorum (R-PA)	Sarbanes (D-MD)	Schumer (D-NY)	Sessions (R-AL)	Shelby (R-AL)	Smith (R-OR)	Snowe (R-ME)	Specter (R-PA)	Stabenow (D-MI)	Stevens (R-AK)	Sununu (R-NH)	Talent (R-MO)	Thomas (R-WY)	Voinovich (R-OH)	Warner (R-VA)	Wyden (D-OR)	outcome	congress	session	date	type	question	prop	out
-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	0 1	d	d	d	d	d	d	d
																																																																																																				class							
0	1	1	1	0	0	1	0	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	0	0	0	-1	-1	-1	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	108	108-1	January 7, 2003, 05:09 PM	 (Motion to Adjourn )		1/2	Motion to Adjourn Agreed to	
1	0	0	0	1	1	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	-1	0	1	0	0	1	1	0	1	0	0	1	1	-1	0	0	1	1	0	0	1	0	0	0	-1	1	0	1	0	0	1	1	1	1	-1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	108	108-1	January 16, 2003, 12:30 PM	 (Byrd Amendment No. 2 )	To provide additional funds for certain homeland security measures.	1/2	Amendment Rejected	
1	0	0	0	1	1	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	-1	0	1	0	0	1	1	0	1	0	0	1	1	-1	0	0	1	1	0	0	1	0	0	0	-1	1	0	1	0	0	1	1	1	1	-1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	108	108-1	January 16, 2003, 02:07 PM	 (Byrd Amendment No. 8 )	To provide additional funds for certain homeland security measures.	1/2	Amendment Rejected	
0	1	1	1	0	0	1	0	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0	-1	1	1	0	0	1	1	0	1	1	1	-1	0	1	0	1	1	0	0	0	0	-1	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	108	108-1	January 16, 2003, 06:05 PM	 (Gregg Amdt. No. 19 )	To provide additional funding for innovative programs at the state and local level.	1/2	Amendment Agreed to	
1	0	0	0	1	1	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	1	-1	0	0	1	1	0	0	1	0	0	0	-1	1	0	1	0	0	1	1	1	1	-1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	108	108-1	January 16, 2003, 06:40 PM	 (Kennedy Amdt. No. 13 )	To provide additional funding for education.	1/2	Amendment Rejected	
0	1	1	1	0	0	1	0	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	1	-1	0	1	1	1	1	0	0	0	0	-1	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	108	108-1	January 17, 2003, 09:50 AM	 (Motion To Table Harkin Amdt. No. 32 )	To restore funding for nondiscretionary Byrne grants to a level of $500,000,000.	1/2	Motion to Table Agreed to	
1	0	0	0	1	1	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	-1	1	0	1	0	0	1	1	1	1	-1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	108	108-1	January 17, 2003, 11:31 AM	 (Byrd Amendment No. 36 )	To nullify all across-the-board rescissions contained in this joint resolution.	1/2	Amendment Rejected	
1	0	0	0	1	1	0	1	1	1	1	-1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	0	1	0	1	1	1	-1	1	0	0	1	0	1	0	0	0	1	-1	1	0	1	1	0	1	1	1	1	-1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	-1	1	0	0	0	1	1	1	1	0	1	0	0	1	1	1	108	108-1	January 17, 2003, 01:42 PM	 (Motion To Table McCain Amdt. No. 44 )	To strike section 211 of Division B.	1/2	Motion to Table Agreed to	
1	1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	108	108-1	January 21, 2003, 05:16 PM	 (S. 121 )	A bill to enhance the operation of the AMBER Alert communications network in order to facilitate the recovery of abducted children, to provide for enhanced notification on highways of alerts and information on such children, and for other purposes.	1/2	Bill Passed	
1	1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	0	1	1	-1	1	1	-1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	108	108-1	January 21, 2003, 05:52 PM	 (Reed Amdt. No. 27 )	To provide additional amounts for low-income home energy assistance.	1/2	Amendment Agreed to	
